movieId,title,genres_text,predicted_rating,weighted_score
1204,Lawrence of Arabia,Adventure Drama History War,3.785004581702721,6.988946747429676
926,All About Eve,Drama,3.778710339740722,6.764831135128717
858,The Godfather,Drama Crime,3.774627546852264,8.163380782472258
898,The Philadelphia Story,Comedy Romance,3.69971143662834,6.560553728642873
1203,12 Angry Men,Drama,3.667598113669243,7.564512537170632
318,The Shawshank Redemption,Drama Crime,3.6675602531277964,8.246224078799653
2064,Roger & Me,Documentary History,3.6617955390288017,6.440581309344843
306,Three Colors: Red,Drama Mystery Romance,3.6308336278685633,6.620017435865395
1136,Monty Python and the Holy Grail,Adventure Comedy Fantasy,3.626973431170568,7.235560331445759
899,Singin' in the Rain,Comedy Music Romance,3.5900272792632184,6.975565953930024
